Agency	Sector	Country	Province1	Province	Latitude	Longitude	geo	Original Output (if different from current)	Current output	Original Indicator (if different from current)	Indicator	Start date	End date	First Indicator	Measure	Original Target (if different)	Target	Interim	Achieved	Final	% achieved to date	% to date	Final	Final %
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6659	22.8337	"40.6659,22.8337"	Clean latrines and showers in Elleniko 2	Clean latrines and showers in Frakapor		% of latrines and showers cleaned daily				%		80	0	0		0%	#DIV/0!		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6659	22.8337	"40.6659,22.8337"	Distribution of hygeine kits to camp residents	Distribution of hygeine kits to camp residents in Frakapor		# of hygiene kits distributed				#		500				0%	0%		
IMC	Protection	Greece	Attica	"Attica, Greece"	38.3869	23.5046	"38.3869,23.5046"	New output	Conduct protection/GBV participatory assessment	New indicator	# Protection / GBV participatory assessments conducted				#	New target	3				0%	0%		
IMC	Protection	Greece	Attica	"Attica, Greece"	38.3236	23.6288	"38.3236,23.6288"	New output	Conduct protection/GBV participatory assessment	New indicator	# Protection / GBV participatory assessments conducted				#	New target	3				0%	0%		
IMC	Protection	Greece	Attica	"Attica, Greece"	38.2393	23.7945	"38.2393,23.7945"	New output	Conduct protection/GBV participatory assessment	New indicator	# Protection / GBV participatory assessments conducted				#	New target	3				0%	0%		
IMC	Protection	Greece	Attica	"Attica, Greece"	38.2393	23.7945	"38.2393,23.7945"	New output	Conduct Protection trainings (GBV service providers and site camp staff)	New indicator	# of person benefiting from Protection training				#	New target	60				0%	0%		
IMC	Protection	Greece	Attica	"Attica, Greece"	37.97427	23.73297	"37.97427,23.73297"	New output	Development of guidelines on asylum with a focus on referral of GBV cases	New indicator	Asylum / GBV guidelines produced				#	New target	1		0		0%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6525	22.8527	"40.6525,22.8527"	New output	Support to desludge septic tanks in SK Market	New indicator	% support desludge of septic tanks in SK Market				#	New target	80		0		0%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6659	22.8337	"40.6659,22.8337"	New output	Support to desludge septic tanks in Frakapor	New indicator	% support desludge of septic tanks in Frakapor				#	New target	80		0		0%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6659	22.8337	"40.6659,22.8337"	New output	Water trucking in Frakapor	New indicator	# of water trucks in Frakapor				#	New target	30		0		0%	89%		
IMC	Health	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6659	22.8337	"40.6659,22.8337"	New output	Conduct weekly health and hygiene promotion activities in Central Macedonia	New indicator	# of individuals attending health and hygiene promotion sessions				%	New target	200		0		0%	63%		
IMC	Health	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6525	22.8527	"40.6525,22.8527"	New output	Conduct weekly health and hygiene promotion activities in Central Macedonia	New indicator	# of individuals attending health and hygiene promotion sessions				%	New target	200		0		0%	63%		
IMC	Health	Greece	Central Macedonia	"Central Macedonia, Greece"	40.5016	23.0983	"40.5016,23.0983"	New output	Conduct weekly health and hygiene promotion activities in Central Macedonia	New indicator	# of individuals attending health and hygiene promotion sessions				%	New target	200		0		0%	63%		
IMC	Health	Greece	Central Macedonia	"Central Macedonia, Greece"	40.5016	23.0983	"40.5016,23.0983"	New output	Distribution of hygiene kits to camp residents in Vassilika	New indicator	# of hygiene kits distributed in Vassilika				#	New target	1000				0%	93%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		Increased offline communication materials disseminated		# of offline materials produced				#		3000	2680	2680		89%	61%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		Increased number of humanitarian organisations engaged in project activities		# of humanitarian agencies engaged				#		30	19	19		63%	171%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		Increased offline feedback materials produced		# of feedback materials				#		1000	927	927		93%	60%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		Communication needs assessments		# of needs assessments				#		4	0	0		0%	0%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		NewsThatMoves online updates		# of updates				#		1500	915	915		61%	57%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		Increased online feedback received		# of feedback contributions received				#		3000	5117	5117		171%	80%		
Internews	Other	Greece	Attica	"Attica, Greece"	37.9839	23.7294	"37.9839,23.7294"		Feedback data analysis reports produced		# of reports produced				#		10	6	6		60%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6527	22.8533	"40.6527,22.8533"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Volunteer trainings			# trainings conducted with government and partners	#	15	2	0	0		0%	#DIV/0!		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.7021	22.9026	"40.7021,22.9026"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Volunteer trainings			# trainings conducted with government and partners	#	15	2	0	0		0%	#DIV/0!		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	41.0956	22.77	"41.0956,22.77"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Volunteer trainings			# trainings conducted with government and partners	#	15	2	0	0		0%	#DIV/0!		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.4875	22.2478	"40.4875,22.2478"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Volunteer trainings			# trainings conducted with government and partners	#	15	2	0	0		0%	#DIV/0!		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6527	22.8533	"40.6527,22.8533"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Coordination meetings				#	62	21	12	12		57%	14%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.7021	22.9026	"40.7021,22.9026"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Coordination meetings				#	62	21	12	12		57%	14%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	41.0956	22.77	"41.0956,22.77"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Coordination meetings				#	62	21	12	12		57%	14%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.4875	22.2478	"40.4875,22.2478"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece a) Capacity building of government and partners, including volunteers"		# Coordination meetings				#	62	21	12	12		57%	14%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6527	22.8533	"40.6527,22.8533"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece b) Support the establishment and strengthen coordination systems for site management"		# of coordination meetings initiated by NRC/UNHCR/other camp coordinators				#	62	15	12	12		80%	35%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	41.0956	22.77	"41.0956,22.77"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece b) Support the establishment and strengthen coordination systems for site management"		# of coordination meetings initiated by NRC/UNHCR/other camp coordinators				#	62	15	12	12		80%	35%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6684	22.8751	"40.6684,22.8751"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece b) Support the establishment and strengthen coordination systems for site management"		# of coordination meetings initiated by NRC/UNHCR/other camp coordinators				#	62	15	12	12		80%	35%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6684	22.8751	"40.6684,22.8751"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece b) Support the establishment and strengthen coordination systems for site management"		GBP value of technical equipment given to support on site coordination				£		"276,923"				0%	30%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6527
"	"22.8533
"	"40.6527
,22.8533
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# trainings or other support and engagement activities conducted with volunteer/solidarity groups				#	52	8	0	0		0%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.7021
"	22.9026	"40.7021
,22.9026"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# trainings or other support and engagement activities conducted with volunteer/solidarity groups				#	52	8	0	0		0%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"41.0956
"	"22.7700
"	"41.0956
,22.7700
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# trainings or other support and engagement activities conducted with volunteer/solidarity groups				#	52	8	0	0		0%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.4875
"	"22.2478
"	"40.4875
,22.2478
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# trainings or other support and engagement activities conducted with volunteer/solidarity groups				#	52	8	0	0		0%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6684
"	"22.8751 
"	"40.6684
,22.8751 
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# trainings or other support and engagement activities conducted with volunteer/solidarity groups				#	52	8	0	0		0%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6527
"	"22.8533
"	"40.6527
,22.8533
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# coordination meetings conducted specific to volunteer/solidarity groups				#	26	0	0	0		#DIV/0!	33%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.7021
"	"22.9026
"	"40.7021
,22.9026
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# coordination meetings conducted specific to volunteer/solidarity groups				#	26	0	0	0		#DIV/0!	33%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	41.0956	"22.7700
"	"41.0956,22.7700
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# coordination meetings conducted specific to volunteer/solidarity groups				#	26	0	0	0		#DIV/0!	33%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.4875 
"	"22.2478 
"	"40.4875 
,22.2478 
"		"1) Site Management Support: By 30 June 2016, Support to Site Management is improved in five camps or informal sites in nothern mainland Greece c) support the development and strengthening of activities by volunteer/solidarity groups on site"		# coordination meetings conducted specific to volunteer/solidarity groups				#	26	0	0	0		#DIV/0!	33%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6527	"22.8533 
"	"40.6527,22.8533 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.7021	"22.9026 
"	"40.7021,22.9026 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"41.0956
"	"22.7700 
"	"41.0956
,22.7700 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.4875
"	"22.2478
"	"40.4875
,22.2478
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.9960
"	"22.6373
"	"40.9960
,22.6373
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6684	"22.4464
"	"40.6684,22.4464
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.7643	"22.4464
"	"40.7643,22.4464
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6351 
"	"22.4543 
"	"40.6351 
,22.4543 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of asylum seekers who received information services				#	"15,000"	"14,574"	2000	2000		14%	2%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6527	"22.8533
"	"40.6527,22.8533
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.7021	22.9026	"40.7021,22.9026"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	41.0956	"22.7700
"	"41.0956,22.7700
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.4875	22.2478	"40.4875,22.2478"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.996	"22.6373
"	"40.996,22.6373
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6684
"	"22.8751
"	"40.6684
,22.8751
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.7643
"	"22.4464
"	"40.7643
,22.4464
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6351 
"	"22.4543 
"	"40.6351 
,22.4543 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of information products produced				#	60	31	11	11		35%	3%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.6351 
"	"22.4543 
"	"40.6351 
,22.4543 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# of Notice boards/TV screens set up that serves as communication channels				#	10	10	3	3		30%	0%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.7021	"22.9026
"	"40.7021,22.9026
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# locations with electrical sockets and wifi hotspots etablished and running.				#	10	2	0	0		0%	300%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"41.0956 
"	"22.7700 
"	"41.0956 
,22.7700 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		# locations with electrical sockets and wifi hotspots etablished and running.				#	10	2	0	0		0%	300%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	40.6527	"22.8533
"	"40.6527,22.8533
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		"# Social media platforms (WhatsApp, etc) established for the use of partners in sites"				#	5	3	1	1		33%	81%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"40.7021 
"	"22.9026
"	"40.7021 
,22.9026
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		"# Social media platforms (WhatsApp, etc) established for the use of partners in sites"				#	5	3	1	1		33%	81%		
NRC	Camp Management	Greece	Macedonia	"Macedonia, Greece"	"41.0956 
"	"22.7700 
"	"41.0956 
,22.7700 
"		"2) Information Management: By 30 June 2016, access to information is improved in 5 sites in northern mainland Greece"		"# Social media platforms (WhatsApp, etc) established for the use of partners in sites"				#	5	3	1	1		33%	81%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	40.6527	"22.8533
"	"40.6527,22.8533
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.7021
"	"22.9026
"	"40.7021
,22.9026
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
